paper_id,title,session,sentence_index,label_id,label_name,label_english,confidence,rule_reason,sentence,url
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,3,3,기존 한계,Prior limitation,0.91,prior limitation,"Unlike prior surgical robot learning approaches that rely on multi-camera setups or thousands of demonstrations, we show that a lightweight action decoder policy like Action Chunking Transformer (ACT) can learn complex, long-horizon manipulation from less than 150 demonstrations using solely stereo endoscopic images, when equipped with our architecture.",https://roboticsconference.org/program/papers/2/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,4,5,방법,Method,0.88,proposed method,"We evaluate our approach on the collaborative surgical task of bowel grasping and retraction, where a robot assistant interprets visual cues from a human surgeon, executes targeted grasping on deformable tissue, and performs sustained retraction.",https://roboticsconference.org/program/papers/2/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,5,9,비교,Comparison,0.93,comparison to baselines,We benchmark our method against state-of-the-art Vision-Language-Action (VLA) models and the standard ACT baseline.,https://roboticsconference.org/program/papers/2/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,6,8,결과,Result,0.93,reported result,"Our results show that generalist VLAs fail to acquire the task entirely, even under standard in-distribution conditions.",https://roboticsconference.org/program/papers/2/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,7,8,결과,Result,0.93,reported result,"Furthermore, while standard ACT achieves moderate success in-distribution, adopting a supervised MoE architecture significantly boosts its performance, yielding higher success rates in-distribution and demonstrating superior robustness in out-of-distribution scenarios, including novel grasp locations, reduced illumination, and partial occlusions.",https://roboticsconference.org/program/papers/2/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,8,5,방법,Method,0.58,default technical contribution sentence,"Notably, it generalizes to unseen testing viewpoints and also transfers zero-shot to ex vivo porcine tissue without additional training, offering a promising pathway toward in vivo deployment.",https://roboticsconference.org/program/papers/2/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,9,4,목표,Goal,0.88,paper goal,"To support this statement, we present qualitative preliminary results of policy roll-outs during in vivo porcine surgery.",https://roboticsconference.org/program/papers/2/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,10,8,결과,Result,0.93,reported result,These results demonstrate that supervised MoE architectures provide a data-efficient approach for learning multi-step dexterous manipulation in visually constrained environments.,https://roboticsconference.org/program/papers/2/
2,Supervised Mixture-of-Experts for Surgical Grasping and Retraction,Manipulation 1,11,13,자원 공개,Resources,0.93,resource disclosure,Code and dataset will be released upon acceptance.,https://roboticsconference.org/program/papers/2/
3,DexImit: Learning Bimanual Dexterous Manipulation from Monocular Human Videos,Manipulation 1,1,3,기존 한계,Prior limitation,0.91,prior limitation,"Data scarcity fundamentally limits the generalization of bimanual dexterous manipulation, as real-world data collection for dexterous hands is expensive and labor-intensive.",https://roboticsconference.org/program/papers/3/
3,DexImit: Learning Bimanual Dexterous Manipulation from Monocular Human Videos,Manipulation 1,2,5,방법,Method,0.58,default technical contribution sentence,"Human manipulation videos, as a direct carrier of manipulation knowledge, offer significant potential for scaling up robot learning.",https://roboticsconference.org/program/papers/3/
3,DexImit: Learning Bimanual Dexterous Manipulation from Monocular Human Videos,Manipulation 1,3,5,방법,Method,0.58,default technical contribution sentence,"However, the substantial embodiment gap between human hands and robotic dexterous hands makes direct pretraining from human videos extremely challenging.",https://roboticsconference.org/program/papers/3/
3,DexImit: Learning Bimanual Dexterous Manipulation from Monocular Human Videos,Manipulation 1,4,4,목표,Goal,0.88,paper goal,"To bridge this gap and unleash the potential of large-scale human manipulation video data, we propose DexImit, an automated framework that converts monocular human manipulation videos into physically plausible robot data, without any additional information.",https://roboticsconference.org/program/papers/3/
3,DexImit: Learning Bimanual Dexterous Manipulation from Monocular Human Videos,Manipulation 1,5,5,방법,Method,0.88,proposed method,DexImit employs a four-stage generation pipeline: (1) reconstructing hand–object interactions from arbitrary viewpoints with near-metric scale; (2) performing subtask decomposition and bimanual scheduling; (3) synthesizing robot trajectories consistent with the demonstrated interactions; (4) comprehensive data augmentation for zero-shot real-world deployment.,https://roboticsconference.org/program/papers/3/
3,DexImit: Learning Bimanual Dexterous Manipulation from Monocular Human Videos,Manipulation 1,6,5,방법,Method,0.58,default technical contribution sentence,"Building on these designs, DexImit can generate large-scale robot data based on human videos, either from the Internet or video generation models.",https://roboticsconference.org/program/papers/3/
3,DexImit: Learning Bimanual Dexterous Manipulation from Monocular Human Videos,Manipulation 1,7,7,검증,Validation,0.88,validation setup,"DexImit is capable of handling diverse manipulation tasks, including tool use (e.g., cutting an apple), long-horizon tasks (e.g., making a beverage), and fine-grained manipulations (e.g., stacking cups).",https://roboticsconference.org/program/papers/3/
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Manipulation 1,1,2,문제,Problem,0.88,specific problem,Generalizing tool manipulation requires both semantic planning and precise physical control.,https://roboticsconference.org/program/papers/4/
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Manipulation 1,2,5,방법,Method,0.58,default technical contribution sentence,"Modern generalist robot policies, such as Vision-Language-Action (VLA) models, often lack the high-fidelity physical grounding required for contact-rich tool manipulation.",https://roboticsconference.org/program/papers/4/
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Manipulation 1,3,3,기존 한계,Prior limitation,0.91,prior limitation,"Conversely, existing contact-aware policies that leverage tactile or haptic sensing are typically instance-specific and fail to generalize across diverse tool geometries.",https://roboticsconference.org/program/papers/4/
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Manipulation 1,4,3,기존 한계,Prior limitation,0.88,prior limitation,"Bridging this gap requires learning unified contact representations from diverse data, yet a fundamental barrier remains: diverse real-world tactile data are prohibitive at scale, while direct zero-shot sim-to-real transfer is challenging due to the complex dynamics of nonlinear deformation of soft sensors.",https://roboticsconference.org/program/papers/4/
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Manipulation 1,5,4,목표,Goal,0.88,paper goal,"To address this, we propose Semantic-Contact Fields (SCFields), a unified 3D representation fusing visual semantics with dense contact estimates.",https://roboticsconference.org/program/papers/4/
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Manipulation 1,6,6,핵심 아이디어,Key idea,0.88,key mechanism,"We enable this via a two-stage Sim-to-Real Contact Learning Pipeline: first, we pre-train on a large simulation data set to learn general contact physics; second, we fine-tune on a small set of real data, pseudo-labeled via geometric heuristics and force optimization, to align sensor characteristics.",https://roboticsconference.org/program/papers/4/
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Manipulation 1,7,5,방법,Method,0.58,default technical contribution sentence,This allows physical generalization to unseen tools.,https://roboticsconference.org/program/papers/4/
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Manipulation 1,8,4,목표,Goal,0.88,paper goal,We leverage SCFields as the dense observation input for a diffusion policy to enable robust execution of contact-rich tool manipulation tasks.,https://roboticsconference.org/program/papers/4/
4,Semantic Contact Fields for Category-Level Generalizable Tool Manipulation,Manipulation 1,9,9,비교,Comparison,0.93,comparison to baselines,"Experiments on scraping, crayon drawing, and peeling demonstrate robust category-level generalization, significantly outperforming vision-only and raw-tactile baselines.",https://roboticsconference.org/program/papers/4/
5,Contact-Grounded Policy: Dexterous Visuotactile Policy with Generative Contact Grounding,Manipulation 1,1,2,문제,Problem,0.88,specific problem,"Contact-rich dexterous manipulation with multi-finger hands remains an open challenge in robotics because task success depends on multi-point contacts that continuously evolve and are highly sensitive to object geometry, frictional transitions, and slip.",https://roboticsconference.org/program/papers/5/
5,Contact-Grounded Policy: Dexterous Visuotactile Policy with Generative Contact Grounding,Manipulation 1,2,5,방법,Method,0.58,default technical contribution sentence,"Recently, tactile-informed manipulation policies have shown promise.",https://roboticsconference.org/program/papers/5/
5,Contact-Grounded Policy: Dexterous Visuotactile Policy with Generative Contact Grounding,Manipulation 1,3,5,방법,Method,0.88,proposed method,"However, most use tactile signals as additional observations rather than modeling contact state or how their action outputs interact with low-level controller dynamics.",https://roboticsconference.org/program/papers/5/
5,Contact-Grounded Policy: Dexterous Visuotactile Policy with Generative Contact Grounding,Manipulation 1,4,5,방법,Method,0.88,proposed method,"We present Contact-Grounded Policy (CGP), a visuotactile policy that grounds multi-point contacts by predicting coupled trajectories of actual robot state and tactile feedback, and using a learned contact-consistency mapping to convert these predictions into executable target robot states for a compliance controller.",https://roboticsconference.org/program/papers/5/
5,Contact-Grounded Policy: Dexterous Visuotactile Policy with Generative Contact Grounding,Manipulation 1,5,6,핵심 아이디어,Key idea,0.88,key mechanism,"CGP consists of two components: (i) a conditional diffusion model that forecasts future robot state and tactile feedback in a compressed latent space, and (ii) a learned contact-consistency mapping that converts the predicted robot state-tactile pair into executable targets for a compliance controller, enabling it to realize the intended contacts.",https://roboticsconference.org/program/papers/5/
5,Contact-Grounded Policy: Dexterous Visuotactile Policy with Generative Contact Grounding,Manipulation 1,6,7,검증,Validation,0.88,validation setup,"We evaluate CGP using a physical four-finger Allegro V5 hand with Digit360 fingertip tactile sensors, and a simulated five-finger Tesollo DG-5F hand with dense whole-hand tactile arrays.",https://roboticsconference.org/program/papers/5/
5,Contact-Grounded Policy: Dexterous Visuotactile Policy with Generative Contact Grounding,Manipulation 1,7,9,비교,Comparison,0.93,comparison to baselines,"Across a range of dexterous tasks including in-hand manipulation, delicate grasping, and tool use, CGP outperforms visuomotor and visuotactile diffusion-policy baselines.",https://roboticsconference.org/program/papers/5/
6,TactAlign: Human-to-Robot Policy Transfer via Tactile Alignment,Manipulation 1,1,5,방법,Method,0.88,proposed method,"Human demonstrations collected by wearable devices (e.g., tactile gloves) provide fast and dexterous supervision for policy learning, and are guided by rich, natural tactile feedback.",https://roboticsconference.org/program/papers/6/
6,TactAlign: Human-to-Robot Policy Transfer via Tactile Alignment,Manipulation 1,2,2,문제,Problem,0.88,specific problem,"However, a key challenge is how to transfer human-collected tactile signals to robots despite the differences in sensing modalities and embodiment.",https://roboticsconference.org/program/papers/6/
6,TactAlign: Human-to-Robot Policy Transfer via Tactile Alignment,Manipulation 1,3,3,기존 한계,Prior limitation,0.88,prior limitation,"Existing human-to-robot (H2R) approaches that incorporate touch often assume identical tactile sensors, require paired data, and involve little to no embodiment gap between human demonstrator and the robots, limiting scalability and generality.",https://roboticsconference.org/program/papers/6/
6,TactAlign: Human-to-Robot Policy Transfer via Tactile Alignment,Manipulation 1,4,6,핵심 아이디어,Key idea,0.88,key mechanism,"We propose TactAlign, a cross-embodiment tactile alignment method that transfers human-collected tactile signals to a robot with different embodiment.",https://roboticsconference.org/program/papers/6/
6,TactAlign: Human-to-Robot Policy Transfer via Tactile Alignment,Manipulation 1,5,6,핵심 아이디어,Key idea,0.88,key mechanism,"TactAlign transforms human and robot tactile observations into an shared latent representation using a rectified flow, without paired datasets, manual labels, or privileged information.",https://roboticsconference.org/program/papers/6/
6,TactAlign: Human-to-Robot Policy Transfer via Tactile Alignment,Manipulation 1,6,6,핵심 아이디어,Key idea,0.88,key mechanism,Our method enables low-cost latent transport guided by hand-object interaction-derived pseudo-pairs.,https://roboticsconference.org/program/papers/6/
6,TactAlign: Human-to-Robot Policy Transfer via Tactile Alignment,Manipulation 1,7,8,결과,Result,0.93,reported result,"We demonstrate that TactAlign improves H2R policy transfer across multiple contact-rich tasks (pivoting, insertion, lid closing), generalizes to unseen objects and tasks with human data (approximately 5 minutes), and enables zero-shot H2R transfer on a highly dexterous tasks (light bulb screwing).",https://roboticsconference.org/program/papers/6/
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Manipulation 1,1,3,기존 한계,Prior limitation,0.91,prior limitation,"Large behavior models (LBMs) have shown strong dexterous manipulation capabilities by extending imitation learning to large-scale training on extensive multi-task robot data, yet their generalization remains limited by the insufficient coverage of available robot data.",https://roboticsconference.org/program/papers/7/
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Manipulation 1,2,5,방법,Method,0.58,default technical contribution sentence,"To expand this coverage without costly additional data collection, recent work increasingly relies on co-training: jointly learning from target robot data and heterogeneous data modalities.",https://roboticsconference.org/program/papers/7/
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Manipulation 1,3,5,방법,Method,0.88,proposed method,"However, how different co-training data modalities and training strategies affect policy performance remains poorly understood.",https://roboticsconference.org/program/papers/7/
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Manipulation 1,4,5,방법,Method,0.88,proposed method,"We present a large-scale empirical study examining five co-training data modalities—standard vision-language data, dense language annotations for robot trajectories, cross-embodiment robot data, human videos, and discrete robot action tokens—across single- and multi-phase training strategies.",https://roboticsconference.org/program/papers/7/
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Manipulation 1,5,8,결과,Result,0.93,reported result,"Our study leverages 4,000 hours of robot and human manipulation data and 50M vision–language samples to train vision-language-action (VLA) policies.",https://roboticsconference.org/program/papers/7/
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Manipulation 1,6,7,검증,Validation,0.88,validation setup,"We evaluate 89 policies over 58,000 simulation rollouts and 2,835 real-world rollouts.",https://roboticsconference.org/program/papers/7/
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Manipulation 1,7,8,결과,Result,0.93,reported result,"Our results show that co-training with various forms of vision-language and cross-embodiment robot data substantially improves generalization to distribution shifts, unseen tasks, and language following, while discrete action token variants yield no statistically significant benefits.",https://roboticsconference.org/program/papers/7/
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Manipulation 1,8,6,핵심 아이디어,Key idea,0.88,key mechanism,"Furthermore, combining effective modalities produces cumulative gains and enables rapid adaptation to unseen long-horizon dexterous tasks via fine-tuning.",https://roboticsconference.org/program/papers/7/
7,A Systematic Study of Data Modalities and Strategies for Co-training Large Behavior Models for Robot Manipulation,Manipulation 1,9,10,의의,Significance,0.7,closing implication sentence,"Together, these results provide a systematic understanding of co-training and practical guidance for building scalable generalist robot policies.",https://roboticsconference.org/program/papers/7/
8,SID: Sliding into Distribution for Robust Few-Demonstration Manipulation,Manipulation 1,1,2,문제,Problem,0.88,specific problem,"Generalizing robotic manipulation across object poses, viewpoints, and dynamic disturbances is difficult, especially with only a few demonstrations.",https://roboticsconference.org/program/papers/8/
8,SID: Sliding into Distribution for Robust Few-Demonstration Manipulation,Manipulation 1,2,5,방법,Method,0.58,default technical contribution sentence,"End-to-end visuomotor policies are expressive but data-hungry, while planning and optimization satisfy explicit constraints but do not directly capture the interaction strategies demonstrated by humans.",https://roboticsconference.org/program/papers/8/
8,SID: Sliding into Distribution for Robust Few-Demonstration Manipulation,Manipulation 1,3,6,핵심 아이디어,Key idea,0.88,key mechanism,"We propose Sliding into Distribution (SID), a structured framework that learns an object-centric motion field from canonicalized demonstrations to iteratively slide the system toward the demonstrated manifold and into the reliable operating region of a lightweight egocentric execution policy, mitigating out-of-distribution (OOD) execution.",https://roboticsconference.org/program/papers/8/
8,SID: Sliding into Distribution for Robust Few-Demonstration Manipulation,Manipulation 1,4,5,방법,Method,0.58,default technical contribution sentence,"The motion field provides large corrective motions when far from the demonstration manifold and naturally vanishes near convergence, enabling robust reaching under substantial pose and viewpoint shifts.",https://roboticsconference.org/program/papers/8/
8,SID: Sliding into Distribution for Robust Few-Demonstration Manipulation,Manipulation 1,5,6,핵심 아이디어,Key idea,0.88,key mechanism,"Within the reached regime, an egocentric policy trained with conditioned flow matching performs task-specific manipulation, supported by kinematically consistent point-cloud reprojection augmentation that preserves action–observation consistency.",https://roboticsconference.org/program/papers/8/
8,SID: Sliding into Distribution for Robust Few-Demonstration Manipulation,Manipulation 1,6,8,결과,Result,0.93,reported result,"Across six real-world tasks, SID achieves approximately 90% success under OOD initializations with only two demonstrations, with under a 10% drop under distractors and external disturbances.",https://roboticsconference.org/program/papers/8/
8,SID: Sliding into Distribution for Robust Few-Demonstration Manipulation,Manipulation 1,7,6,핵심 아이디어,Key idea,0.88,key mechanism,"Overall, SID provides a new paradigm for few-shot manipulation: explicitly managing distribution shift via online distribution recovery.",https://roboticsconference.org/program/papers/8/
9,UMI-Underwater: Learning Underwater Manipulation without Underwater Teleoperation,Manipulation 1,1,2,문제,Problem,0.88,specific problem,"Underwater robotic grasping is difficult due to degraded, highly variable imagery and the expense of collecting diverse underwater demonstrations.",https://roboticsconference.org/program/papers/9/
9,UMI-Underwater: Learning Underwater Manipulation without Underwater Teleoperation,Manipulation 1,2,6,핵심 아이디어,Key idea,0.88,key mechanism,We introduce a system that (i) autonomously collects successful underwater grasp demonstrations via a self-supervised data collection pipeline and (ii) transfers grasp knowledge from on-land human demonstrations through a depth-based affordance representation that bridges the on-land–to–underwater domain gap and is robust to lighting and color shift.,https://roboticsconference.org/program/papers/9/
9,UMI-Underwater: Learning Underwater Manipulation without Underwater Teleoperation,Manipulation 1,3,6,핵심 아이디어,Key idea,0.88,key mechanism,"An affordance model trained on on-land handheld demonstrations is deployed underwater zero-shot via geometric alignment, and an affordance-conditioned diffusion policy is then trained on underwater demonstrations to generate control actions.",https://roboticsconference.org/program/papers/9/
9,UMI-Underwater: Learning Underwater Manipulation without Underwater Teleoperation,Manipulation 1,4,9,비교,Comparison,0.93,comparison to baselines,"In pool experiments, our approach improves grasping performance and robustness to background shifts, and enables generalization to objects seen only in on-land data, outperforming RGB-only baselines.",https://roboticsconference.org/program/papers/9/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,1,2,문제,Problem,0.88,specific problem,General-purpose robots operating in partially observable environments such as homes require memory to support long-term autonomy.,https://roboticsconference.org/program/papers/10/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,2,2,문제,Problem,0.88,specific problem,"They must recall different types of past information, such as where objects were placed, which subtasks have already been completed by a human partner, and when an appliance was turned on This capability requires an effective memory retrieval mechanism.",https://roboticsconference.org/program/papers/10/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,3,3,기존 한계,Prior limitation,0.91,prior limitation,"However, hand-designed or heuristic-based retrieval methods often fail to generalize in different tasks.",https://roboticsconference.org/program/papers/10/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,4,7,검증,Validation,0.88,validation setup,"Attention-based retrieval provides a promising alternative, as both queries and keys are learned from data without making task-specific assumptions.",https://roboticsconference.org/program/papers/10/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,5,5,방법,Method,0.88,proposed method,"However, directly applying an attention-based memory retrieval mechanism in imitation learning introduces two key challenges: (1) the policy may learn spurious correlations between the information retrieved from the past and predicted actions, and (2) errors accumulated over time in the memory due to prediction inaccuracies, compounded by interactions with the environment, lead to model drift and cascading failures in long-horizon control.",https://roboticsconference.org/program/papers/10/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,6,5,방법,Method,0.88,proposed method,"To address these challenges, we introduce HALO, a visuomotor policy equipped with an attention-based memory retrieval mechanism for long-horizon control.",https://roboticsconference.org/program/papers/10/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,7,6,핵심 아이디어,Key idea,0.88,key mechanism,"To mitigate spurious correlations, HALO leverages vision-language models (VLMs) by generating task-relevant question–answer pairs from demonstration trajectories and jointly training the policy with a video question– answering objective.",https://roboticsconference.org/program/papers/10/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,8,7,검증,Validation,0.88,validation setup,This supervision encourages the retrieval module to focus on information that is relevant to the task.,https://roboticsconference.org/program/papers/10/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,9,5,방법,Method,0.58,default technical contribution sentence,"Second, to reduce the impact of accumulated errors in memory during closed-loop control, HALO uses sparse attention that restricts retrieval to only the most relevant parts of the history.",https://roboticsconference.org/program/papers/10/
10,Memory Retrieval in Visuomotor Policies for Long-Horizon Robot Control,World Models & Memory,10,6,핵심 아이디어,Key idea,0.88,key mechanism,"Together, these components enable more reliable long-horizon control by guiding the policy to retrieve task-relevant information from up to two minutes of past experience.",https://roboticsconference.org/program/papers/10/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,1,2,문제,Problem,0.88,specific problem,Robots operating in unstructured environments must satisfy dynamic constraints that can change across tasks and even within a single execution.,https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,2,2,문제,Problem,0.88,specific problem,"While diffusion policies can learn multimodal behaviors from demonstrations, adapting a trained policy at runtime to newly encountered or evolving constraints remains an open challenge.",https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,3,6,핵심 아이디어,Key idea,0.88,key mechanism,"We propose RAG-Diff, a runtime adaptation framework for a frozen transformer diffusion policy that leverages retrieval-augmented memory.",https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,4,5,방법,Method,0.58,default technical contribution sentence,"RAG-Diff maintains PrefMem, a memory bank that stores vision-language embeddings together with (i) state-action snippets and (ii) constraint annotations.",https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,5,5,방법,Method,0.58,default technical contribution sentence,"At test time, RAG-Diff queries PrefMem to retrieve the nearest entry and uses it to steer sampling in two complementary ways.",https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,6,5,방법,Method,0.58,default technical contribution sentence,"First, I-Atten (in-place attention recomputation) inserts the retrieved snippet as additional cross-attention memory tokens and performs a classifier-free-guidance-style update, biasing denoising toward preference-consistent motion.",https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,7,5,방법,Method,0.58,default technical contribution sentence,"Second, a predictive guidance mechanism incorporates the retrieved constraint parameters during diffusion sampling to discourage violations.",https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,8,7,검증,Validation,0.88,validation setup,"To demonstrate the effectiveness of RAG-Diff, we choose physical robot caregiving as a domain with personalized and time-varying constraints.",https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,9,3,기존 한계,Prior limitation,0.88,prior limitation,We first benchmark on an adapted PushT environment in simulation with contact-force limits and region-to-avoid constraints.,https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,10,5,방법,Method,0.88,proposed method,"We then evaluated our method on a suite of physical caregiving tasks spanning diverse preference types: (i) interaction and affordance preferences in bed bathing, (ii) ROM-based assistance-level preferences in medicine delivery, (iii) semantic preferences in shelf cleaning, and (iv) trajectory preferences in feeding, in both RCareWorld simulation and with a real robot.",https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,11,7,검증,Validation,0.88,validation setup,We further conducted real-world user studies on the bed-bathing task.,https://roboticsconference.org/program/papers/11/
11,RAG-Diff: Adapting Diffusion Policies to Dynamic Constraints with Retrieval-Augmented Guidance,World Models & Memory,12,9,비교,Comparison,0.93,comparison to baselines,"Results show that RAG-Diff improves both task success and constraint satisfaction compared to a range of baselines, including unguided diffusion and other guidance- or sampling-based variants.",https://roboticsconference.org/program/papers/11/
12,Self-Improving Robot Policy with Compositional World Model,World Models & Memory,1,5,방법,Method,0.88,proposed method,"Despite the sustained scaling on model capacity and data acquisition, Vision–Language–Action (VLA) models remain brittle in contact-rich and dynamic manipulation tasks, where minor execution deviations can compound into failures.",https://roboticsconference.org/program/papers/12/
